"","x"
"603","1171209415166484480"
"604","1171209012261642240"
"605","1171208957794430977"
"606","1171208672309063680"
"607","1171207618825719808"
"608","1171207588983296000"
"609","1171207183515738117"
"610","1171207043300155392"
"611","1171206601442828288"
"612","1171206371582365697"
"613","1171206321917575168"
"614","1171206245308620803"
"615","1171185419096088579"
"616","1171205683590684674"
"617","1171205296146006016"
"618","1171205055338430469"
"619","1171204977810956288"
"620","1171204201290063872"
"621","1171203974852227078"
"622","1171203862914568192"
"623","1171203610702729216"
"624","1171203280883638272"
"625","1171203245504643072"
"626","1171202970937171969"
"627","1171202969330696192"
"628","1171162625721417728"
"629","1171202511463694336"
"630","1171202240339730432"
"631","1171201618378973186"
"632","1171201533867900929"
"633","1171201082351136768"
"634","1171200597644730368"
"635","1171200209889714176"
"636","1171201071445942272"
"637","1171201038323474435"
"638","1171200046215454720"
"639","1171200977271214090"
"640","1171200461938016256"
"641","1171200669996466176"
"642","1171200373236928522"
"643","1171200043916939265"
"644","1171199870734098433"
"645","1171199770536398848"
"646","1171199324539248644"
"647","1171199289667858432"
"648","1171199178061561857"
"649","1171198524580610048"
"650","1171199094263570432"
"651","1171198377347964935"
"652","1171198291578630145"
"653","1171197890066309121"
"654","1171197888657051649"
"655","1171197715667193856"
"656","1171197659769708544"
"657","1171197609962332161"
"658","1171197403162193920"
"659","1171196558265786368"
"660","1171196070929604609"
"661","1171195754792280069"
"662","1171195695996555265"
"663","1171195610277527558"
"664","1171195276226433024"
"665","1171195193963552775"
"666","1171194588306006019"
"667","1171194132104130562"
"668","1171193698610307072"
"669","1171193562274455554"
"670","1171193519773495302"
"671","1171193368422039553"
"672","1171193220077969408"
"673","1171193060589522944"
"674","1171192371096297473"
"675","1171191922414751751"
"676","1171191895197913088"
"677","1171191753967394816"
"678","1171191621406404609"
"679","1171191196728856576"
"680","1171191077208018953"
"681","1171190285851942912"
"682","1171189989889204224"
"683","1171188871347896321"
"684","1171188005228437510"
"685","1171180311838961664"
"686","1171187609919508480"
"687","1171187496648097792"
"688","1171187289105543168"
"689","1171179041203924993"
"690","1171186813677031424"
"691","1171186260842635266"
"692","1171185852975931392"
"693","1171185810089095168"
"694","1171184973463859200"
"695","1171184410382807040"
"696","1171184283588804608"
"697","1171183688052170752"
"698","1171183568619495429"
"699","1171183544649027584"
"700","1171183184740016129"
"701","1171182509981237249"
"702","1171182447435890688"
"703","1171182349951873025"
"704","1171181059469381635"
"705","1171180486342971392"
"706","1171179787869720581"
"707","1171179274944036864"
"708","1171178988569595909"
